ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Rockerz 558 Sunburn Edition,"
Sale price₹ 1,999",60% off,1 review,"★
  4.0
    ",Good sound. Worth its price,"Product is comfy, looks premium, feels great (material hard and soft touches). The sound is above good. Music clarity is there, volume is just great. Beats, bass, treble everything is balanced enough for us to enjoy music the way want to. Rest, in other cases, we can adjust the EQ. Good product at this price."
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Excellent battery life,Can listen for almost more than 6 hours  in single charge
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,Thanks boat
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very good airpodes..
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very Good Airbuds
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,Audio quality and battery backup is much better than other products
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,The product is good but it was late delivered
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good,Good condition
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,"Amazing product
Good sound quality
200% worth it"
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good quality,Good
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Nice 👍,[****]
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Best quality airdopes,These fitted my ears perfectly easy to operate and yeah these are actually good during listening songs due to their multi function button
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Jhakkas 🔥💯🤘😎,It's awesome thank you boAt 👍
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Super,Useful Thank u boat
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Awesome product,Worthy product according to price. And personalization is always loved ❤️
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Very good,Very good
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",This is amazing,Sound is too good
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Boat headphones,Nice sound quality
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Value for Money,"I got this for just 350rs including shipping and taxes. For just 350rs the sound quality it offers is just great. Also the earphones are aluminium built, which is super good. But the only problem is that the cable is only braided half, the rest of the cable is just normal rubber . But it's worth it."
