ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",,Thanks for the quality
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",Good,Good product
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",,Misfit T50 Trimmer
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",Awesome product,I didn't expected this quality at this price
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",Great,"I have used this trimmer many times after buying it, and my experience was very good."
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",Nice product,Premium quality
Misfit T50 Lite,"
Sale price₹ 879",56% off,4 reviews,"★
  4.5
    ",,Good
Misfit T50 Lite,"
Sale price₹ 879",56% off,4 reviews,"★
  4.5
    ",,"Sleek design, nice performance.
Satisfied with the product 👍"
Misfit T50 Lite,"
Sale price₹ 879",56% off,4 reviews,"★
  4.5
    ",Nice,Nice
Misfit T50 Lite,"
Sale price₹ 879",56% off,4 reviews,"★
  4.5
    ",Very nice,"Good delivery, nice trimmer and boat good brand"
Misfit T30 Trimmer,"
Sale price₹ 769",49% off,5 reviews,"★
  4.8
    ",,VERY GOOD PERFORMANCE
Misfit T30 Trimmer,"
Sale price₹ 769",49% off,5 reviews,"★
  4.8
    ",Nice one,"Very skin friendly blades. 
Normal power and charging 
Does the job
Good pricing 
Click button is bit plasticky"
Misfit T30 Trimmer,"
Sale price₹ 769",49% off,5 reviews,"★
  4.8
    ",Best,Good grooming performance
Misfit T30 Trimmer,"
Sale price₹ 769",49% off,5 reviews,"★
  4.8
    ",Fantastic,Very nice
Misfit T30 Trimmer,"
Sale price₹ 769",49% off,5 reviews,"★
  4.8
    ",,Nish
Misfit T200 3-in-1 Grooming Kit for Men ,"
Sale price₹ 1,199",70% off,2 reviews,"★
  5.0
    ",,Best at this segment
Misfit T200 3-in-1 Grooming Kit for Men ,"
Sale price₹ 1,199",70% off,2 reviews,"★
  5.0
    ",Outstanding performance,"Nice packaging and no doubt 
You can buy it without any queries regarding this"
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",,Misfit T200
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",Very good,😀😀😀
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",very good,excellent  item 
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",Amazing worth taking,Great experience
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",Product,Products and packaging both are really good
Misfit T200,"
Sale price₹ 1,699",58% off,42 reviews,"★
  4.9
    ",Good Product,"Used it for the first time, seemed quite smooth and a powerful motor. happy with the product use on body and beard"
Misfit T150 Trimmer,"
Sale price₹ 1,429",59% off,1 review,"★
  4.0
    ",BoAt misfit T150 trimmer,Product is excellent but deliver time might be reduced. 😊🙃 Happy 😊 thanks
Misfit T50 Trimmer,"
Sale price₹ 989",60% off,20 reviews,"★
  4.9
    ",,Thanks for the quality
