ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",,TRebel Watch Blaze
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",Good features,Good features for the price. Decent UI
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",Very good,Very good quality product
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",Awesome watch.,"I strongly recommend everyone to buy this watch. Best watch in terms of performance, design and features."
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",Working well,"Good product, satisfied after a week of use,battery is still 53%, nice appearance,connects quickly with phone,calorie count perfect."
 TRebel Blaze ,"
Sale price₹ 3,999",43% off,6 reviews,"★
  5.0
    ",,Nice watch
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",,All the best product. Very good
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",,TRebel Rockerz 333
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",Nice,Good
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",Bass outstanding,"Superb quality 
Amazing battery life"
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",,TRebel Rockerz 333
 TRebel Rockerz 333 ,"
Sale price₹ 1,599",60% off,6 reviews,"★
  5.0
    ",Superb audio quality,I just loved it audio quality.
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",,"boAt TRebel Airdopes 381 |  In-Ear Earbuds with 7mm Drivers, IPX5 Sweat & Water Resistance, 500mAh Pocket Friendly Charging Case"
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",Experience,It was a good experience. I'm in love with the airdopes. The sound quality is good👍
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",,TRebel Airdopes 381
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",TRebel Airdopes 381,A awesome product 😍
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",Sound is gucci,I ordered light blue it’s PURPLE
 TRebel Airdopes 381 ,"
Sale price₹ 2,199",56% off,12 reviews,"★
  4.8
    ",Airdopes 381,"Easy to use, sound is perfect..
I am loving it"
 TRebel Airdopes 402 ,"
Sale price₹ 1,999",67% off,9 reviews,"★
  4.8
    ",,Super
 TRebel Airdopes 402 ,"
Sale price₹ 1,999",67% off,9 reviews,"★
  4.8
    ",Very good,Love this product and color
