ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Fantastic product,Very good product in this price range..
 Stone 1000v2 ,"Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Outstanding,Outstanding Product
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Awesome,Works like a charm. Good sound quality. Visually more attractive than v1.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Boat stone 1000 v2,Great
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Quality sound,Amazing sound quality.totally premium.&.affordable.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",,boAt Stone 1000v2
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,Nice product
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,"boAt Stone Grenade | Bluetooth Speakers with 1.75” Full-range Drivers, High Fidelity Stereo Sound, Up to 7hrs Nonstop Playback"
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very nice quality and where is amazing flight best product on the boat granite,Very nice quality and where is amazing flight best
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Best quality,Sound like a good
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very good,Add usb hub also
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,boAt Stone Grenade
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",Sound quality,Great audio. Quite loud.
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,"boAt Stone 190 | Wireless Portable Speaker with 52mm Dynamic Driver, Up to 4hrs Nonstop Playback, IPX 6 Water Resistant"
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,The product is amazing
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,Good
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",WONDERFULL,WONDERFULL
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,boAt Stone 190
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,"Stone 352 | Wireless Portable Bluetooth Speaker with 10W boAt Signature Sound, Up to 12hrs Nonstop Playback"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Great product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Sound quality & battery 🔋 Backup,"Rating
Sound quality :- 4.8*
Battery Backup :- 5*
Looking & Material :- 5*
Bluetooth Connectivity :- 4.3*
Charging Speed :- 4*"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Good product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good Product,Nice Product ...Better sound quality with good bass
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good,Very good product iam also happy
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Great,Superb quality of music experience but expecting type-c port for charging from boAt at this price point
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",,boAt Stone 650
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",good music sound,very nice.
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Excellent build quality and Great sound quality,Really awesome 10 watt speaker at such cheap price [ got it at ₹1350]
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Best product.,"Good sound and bass quality. Reasonable price . Looks very stylish, flexible so very comfortable to use."
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",QUALITY PRODUCT,"Sound quality is great, its price range and features its very good.
Bass is perfect..
Battery backup is excellent. In 60 % volume it will last up to 8 hrs.
Black color looks premium.
The buttons feels a bit tight."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",Boat Bluetooth Speaker 1200F,"I love the experience.   Its smart, good looking and the sound is just awesome.   Its really worth the money.."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,Good
