ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",Very good,Always satisfied with your product
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",great product,excellent
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",Good Product,I just love it
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",,"boAt Wave Select | Best Sports Edition Smartwatch With 20+ Sports Modes, HD Display, Fitness Tracking Mechanism"
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",,"boAt Wave Select | Best Sports Edition Smartwatch With 20+ Sports Modes, HD Display, Fitness Tracking Mechanism"
 Wave Select ,"
Sale price₹ 2,099",70% off,13 reviews,"★
  5.0
    ",Great product,Wow
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",,Best purchase thank you
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",GOOD PRODUCT. MUCH IMPRESSED,GOOD PRODUCT. MUCH IMPRESSED
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",,"Storm Call | Bluetooth Calling Smart Watch with 1.69 inches HD display, Super-Responsive Dialpad, Ultra Slim & Lightweight"
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",Battery backup not good,All functions are very first
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",,"Storm Call | Bluetooth Calling Smart Watch with 1.69 inches HD display, Super-Responsive Dialpad, Ultra Slim & Lightweight"
 Storm Call ,"
Sale price₹ 1,799",77% off,23 reviews,"★
  4.7
    ",Good product,Good Product
 Wave Beat ,"
Sale price₹ 1,499",75% off,5 reviews,"★
  4.6
    ",Today,Today review
 Wave Beat ,"
Sale price₹ 1,499",75% off,5 reviews,"★
  4.6
    ",Ritesh,Ritesh
 Wave Beat ,"
Sale price₹ 1,499",75% off,5 reviews,"★
  4.6
    ",Very good product,Product is best of other products price and quality
 Wave Beat ,"
Sale price₹ 1,499",75% off,5 reviews,"★
  4.6
    ",Good,Good product
 Wave Beat ,"
Sale price₹ 1,499",75% off,5 reviews,"★
  4.6
    ",Paisa wasool,Good
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",Nice product,Nice product
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",,"Watch Wave Neo | 1.69"" HD Display, Upto 7 Days Battery Life, IP68 Sweat & Water Resistant, 100+ Watch Faces"
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",,Good product
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",Awesome,Love the product.Thank you boat
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",Ultimate,Supar
 Wave Neo ,"
Sale price₹ 1,499",75% off,20 reviews,"★
  4.7
    ",,Good
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",best watch ever buyed,"just believe me this is the best watch I have ever ordered don't even think about just buy it without any hesitation 
best battery life
best touch experience"
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",,Call connecting is not good there is more disturbance and watch leave bluetooth time to time call speaker voice not loud
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",,"boAt Wave Connect | Bluetooth Calling Smartwatch with Alexa built-in, 1.69” HD display, 100+ Watch Faces, 60+ Sports Modes"
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",,The product was awesome but the problem was charging was not connecting the watch ..it was the isse
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",Great👌👌👌,Too Good
 Wave Connect ,"
Sale price₹ 2,999",57% off,88 reviews,"★
  4.9
    ",Nitin Kumar,Super
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",🔥🔥👌 super product i really happy 😃,🔥👌 super product i really happy 😃 i love the product 😃
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",Good Watch,Watch is good.
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",Worth it,"Bought it as a gift for my brother’s birthday, He Loved it ."
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",,"boAt Watch Xtend‌ | Premium Smart Watch with Alexa Built-in, 1.69"" Inches Big Square Display"
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",AMAZING,Amazing product very nyc packaging....love it
 Xtend‌ ,"
Sale price₹ 2,699",66% off,146 reviews,"★
  4.8
    ",,"All the features of watch are amazing , easy to use and worth the money"
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",Good 👍,Very Good
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",,"boAt Wave Call | Bluetooth Calling Smartwatch with 1.69"" HD Curved Display, 150+ Watch Faces, Heart Rate & SPO2 Monitoring"
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",,"boAt Wave Call | Bluetooth Calling Smartwatch with 1.69"" HD Curved Display, 150+ Watch Faces, Heart Rate & SPO2 Monitoring"
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",,"boAt Wave Call | Bluetooth Calling Smartwatch with 1.69"" HD Curved Display, 150+ Watch Faces, Heart Rate & SPO2 Monitoring"
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",,Good
 Wave Call ,"
Sale price₹ 1,799",77% off,41 reviews,"★
  4.9
    ",,"boAt Wave Call | Bluetooth Calling Smartwatch with 1.69"" HD Curved Display, 150+ Watch Faces, Heart Rate & SPO2 Monitoring"
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",,Excellent product
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",Awesime,Nice
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",,"boAt Wave Lite | 1.69"" HD Display, Measures Health on the go, comes with 100+ Watch Faces"
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",Good,Good
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",,"boAt Wave Lite | 1.69"" HD Display, Measures Health on the go, comes with 100+ Watch Faces"
 Wave Lite ,"
Sale price₹ 1,699",76% off,55 reviews,"★
  4.9
    ",,"boAt Wave Lite | 1.69"" HD Display, Measures Health on the go, comes with 100+ Watch Faces"
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",,"boAt Watch Flash | Smart Watch With a 33mm Full Touch LCD Display, Round dial, IP68 sweat and Water Resistant"
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",Boat Flash Smart Watch,"I guess i have purchased one of the best and most stylish watch for a cheap price.
All features are absolutely perfect and work nice. Also the Boat App gives very detailed information and also stores your previous data in it. Very much satisfied with this product. Would highly recommened. Thank You Boat🙂"
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",,Good
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",Good product,"Realy nice product
Very good display quality
Battery backup is very good"
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",,Good product
 Watch Flash ,"
Sale price₹ 1,399",80% off,48 reviews,"★
  4.8
    ",owsome but calling reciving fichure,good
