,ProductName,NumberofReviews,Price,Discount,Rate
0, Rockerz 558 Sunburn Edition,1 review, 1999,60%, 4.0    
1, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
2, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
3, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
4, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
5, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
6, Airdopes 383 Sunburn Edition,9 reviews, 2499,50%, 5.0    
7, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
8, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
9, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
10, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
11, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
12, Airdopes 131 Captain America Marvel Edition ,43 reviews, 1599,47%, 4.9    
13, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
14, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
15, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
16, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
17, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
18, Airdopes 131 Iron Man Marvel Edition ,70 reviews, 1599,47%, 4.9    
19, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
20, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
21, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
22, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
23, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
24, Bassheads 172 Sunburn Edition,12 reviews, 349,73%, 4.8    
