,ProductName,NumberofReviews,Price,Discount,Rate
0,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
1,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
2,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
3,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
4,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
5,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
6,Misfit T50 Lite,4 reviews, 879,56%,4.5    
7,Misfit T50 Lite,4 reviews, 879,56%,4.5    
8,Misfit T50 Lite,4 reviews, 879,56%,4.5    
9,Misfit T50 Lite,4 reviews, 879,56%,4.5    
10,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
11,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
12,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
13,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
14,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
15,Misfit T200 3-in-1 Grooming Kit for Men ,2 reviews, 1199,70%,5.0    
16,Misfit T200 3-in-1 Grooming Kit for Men ,2 reviews, 1199,70%,5.0    
17,Misfit T200,42 reviews, 1699,58%,4.9    
18,Misfit T200,42 reviews, 1699,58%,4.9    
19,Misfit T200,42 reviews, 1699,58%,4.9    
20,Misfit T200,42 reviews, 1699,58%,4.9    
21,Misfit T200,42 reviews, 1699,58%,4.9    
22,Misfit T200,42 reviews, 1699,58%,4.9    
23,Misfit T150 Trimmer,1 review, 1429,59%,4.0    
24,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
25,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
26,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
27,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
28,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
29,Misfit T50 Trimmer,20 reviews, 989,60%,4.9    
30,Misfit T50 Lite,4 reviews, 879,56%,4.5    
31,Misfit T50 Lite,4 reviews, 879,56%,4.5    
32,Misfit T50 Lite,4 reviews, 879,56%,4.5    
33,Misfit T50 Lite,4 reviews, 879,56%,4.5    
34,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
35,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
36,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
37,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
38,Misfit T30 Trimmer,5 reviews, 769,49%,4.8    
39,Misfit T200 3-in-1 Grooming Kit for Men ,2 reviews, 1199,70%,5.0    
40,Misfit T200 3-in-1 Grooming Kit for Men ,2 reviews, 1199,70%,5.0    
41,Misfit T200,42 reviews, 1699,58%,4.9    
42,Misfit T200,42 reviews, 1699,58%,4.9    
43,Misfit T200,42 reviews, 1699,58%,4.9    
44,Misfit T200,42 reviews, 1699,58%,4.9    
45,Misfit T200,42 reviews, 1699,58%,4.9    
46,Misfit T200,42 reviews, 1699,58%,4.9    
47,Misfit T150 Trimmer,1 review, 1429,59%,4.0    
