,ProductName,NumberofReviews,Price,Discount,Rate
0, Mask,147 reviews,499,17%,4.9    
1, Mask,147 reviews,499,17%,4.9    
2, Mask,147 reviews,499,17%,4.9    
3, Mask,147 reviews,499,17%,4.9    
4, Mask,147 reviews,499,17%,4.9    
5, Mask,147 reviews,499,17%,4.9    
6, Deuce 330,4 reviews,299,57%,5.0    
7, Deuce 330,4 reviews,299,57%,5.0    
8, Deuce 330,4 reviews,299,57%,5.0    
9, Deuce 330,4 reviews,299,57%,5.0    
10, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
11, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
12, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
13, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
14, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
15, LTG 500 Indestructible Apple Certified Lightning Cable 2 Meter,26 reviews,899,49%,4.8    
16, Micro USB 150 1.5 Meter,2 reviews,499,50%,5.0    
17, Micro USB 150 1.5 Meter,2 reviews,499,50%,5.0    
18, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
19, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
20, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
21, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
22, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
23, A400 USB Type C Data Cable,15 reviews,349,65%,4.9    
24, Type C C400,6 reviews,499,50%,4.8    
25, Type C C400,6 reviews,499,50%,4.8    
26, Type C C400,6 reviews,499,50%,4.8    
27, Type C C400,6 reviews,499,50%,4.8    
28, Type C C400,6 reviews,499,50%,4.8    
29, Type C C400,6 reviews,499,50%,4.8    
30, Rugged V3 Micro USB 1.5 Meter,63 reviews,299,63%,4.9    
31, Rugged V3 Micro USB 1.5 Meter,63 reviews,299,63%,4.9    
32, Rugged V3 Micro USB 1.5 Meter,63 reviews,299,63%,4.9    
