,ProductName,NumberofReviews,Price,Discount,Rate
0, Wave Select ,13 reviews,2099,70%,5.0    
1, Wave Select ,13 reviews,2099,70%,5.0    
2, Wave Select ,13 reviews,2099,70%,5.0    
3, Wave Select ,13 reviews,2099,70%,5.0    
4, Wave Select ,13 reviews,2099,70%,5.0    
5, Wave Select ,13 reviews,2099,70%,5.0    
6, Storm Call ,23 reviews,1799,77%,4.7    
7, Storm Call ,23 reviews,1799,77%,4.7    
8, Storm Call ,23 reviews,1799,77%,4.7    
9, Storm Call ,23 reviews,1799,77%,4.7    
10, Storm Call ,23 reviews,1799,77%,4.7    
11, Storm Call ,23 reviews,1799,77%,4.7    
12, Wave Beat ,5 reviews,1499,75%,4.6    
13, Wave Beat ,5 reviews,1499,75%,4.6    
14, Wave Beat ,5 reviews,1499,75%,4.6    
15, Wave Beat ,5 reviews,1499,75%,4.6    
16, Wave Beat ,5 reviews,1499,75%,4.6    
17, Wave Neo ,20 reviews,1499,75%,4.7    
18, Wave Neo ,20 reviews,1499,75%,4.7    
19, Wave Neo ,20 reviews,1499,75%,4.7    
20, Wave Neo ,20 reviews,1499,75%,4.7    
21, Wave Neo ,20 reviews,1499,75%,4.7    
22, Wave Neo ,20 reviews,1499,75%,4.7    
23, Wave Connect ,88 reviews,2999,57%,4.9    
24, Wave Connect ,88 reviews,2999,57%,4.9    
25, Wave Connect ,88 reviews,2999,57%,4.9    
26, Wave Connect ,88 reviews,2999,57%,4.9    
27, Wave Connect ,88 reviews,2999,57%,4.9    
28, Wave Connect ,88 reviews,2999,57%,4.9    
29, Xtend‌ ,146 reviews,2699,66%,4.8    
30, Xtend‌ ,146 reviews,2699,66%,4.8    
31, Xtend‌ ,146 reviews,2699,66%,4.8    
32, Xtend‌ ,146 reviews,2699,66%,4.8    
33, Xtend‌ ,146 reviews,2699,66%,4.8    
34, Xtend‌ ,146 reviews,2699,66%,4.8    
35, Wave Call ,41 reviews,1799,77%,4.9    
36, Wave Call ,41 reviews,1799,77%,4.9    
37, Wave Call ,41 reviews,1799,77%,4.9    
38, Wave Call ,41 reviews,1799,77%,4.9    
39, Wave Call ,41 reviews,1799,77%,4.9    
40, Wave Call ,41 reviews,1799,77%,4.9    
41, Wave Lite ,55 reviews,1699,76%,4.9    
42, Wave Lite ,55 reviews,1699,76%,4.9    
43, Wave Lite ,55 reviews,1699,76%,4.9    
44, Wave Lite ,55 reviews,1699,76%,4.9    
45, Wave Lite ,55 reviews,1699,76%,4.9    
46, Wave Lite ,55 reviews,1699,76%,4.9    
