,ProductName,NumberofReviews,Price,Disc,rate
0, TRebel Blaze ,6 reviews,3999,43%,5.0    
1, TRebel Blaze ,6 reviews,3999,43%,5.0    
2, TRebel Blaze ,6 reviews,3999,43%,5.0    
3, TRebel Blaze ,6 reviews,3999,43%,5.0    
4, TRebel Blaze ,6 reviews,3999,43%,5.0    
5, TRebel Blaze ,6 reviews,3999,43%,5.0    
6, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
7, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
8, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
9, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
10, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
11, TRebel Rockerz 333 ,6 reviews,1599,60%,5.0    
12, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
13, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
14, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
15, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
16, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
17, TRebel Airdopes 381 ,12 reviews,2199,56%,4.8    
18, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
19, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
20, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
21, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
22, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
23, TRebel Airdopes 402 ,9 reviews,1999,67%,4.8    
24,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
25,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
26,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
27,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
28,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
29,TRebel BassHeads 100 ,17 reviews,399,60%,4.9    
30, TRebel Xtend‌ ,3 reviews,3499,56%,5.0    
31, TRebel Xtend‌ ,3 reviews,3499,56%,5.0    
32, TRebel Xtend‌ ,3 reviews,3499,56%,5.0    
33, TRebel Rockerz 450 ,1 review,1499,62%,5.0    
34,TRebel BassHeads 103 ,11 reviews,499,61%,5.0    
35,TRebel BassHeads 103 ,11 reviews,499,61%,5.0    
36,TRebel BassHeads 103 ,11 reviews,499,61%,5.0    
