,ProductName,NumberofReviews,Price,Discount,Rate
0, Airdopes 131 ,1298 reviews,999,67%,4.8    
1, Airdopes 131 ,1298 reviews,999,67%,4.8    
2, Airdopes 131 ,1298 reviews,999,67%,4.8    
3, Airdopes 131 ,1298 reviews,999,67%,4.8    
4, Airdopes 131 ,1298 reviews,999,67%,4.8    
5, Airdopes 131 ,1298 reviews,999,67%,4.8    
6, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
7, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
8, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
9, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
10, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
11, Airdopes 131 PRO ,157 reviews,1199,60%,4.9    
12, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
13, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
14, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
15, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
16, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
17, Airdopes 411 ANC ,68 reviews,2499,50%,4.8    
18, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
19, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
20, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
21, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
22, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
23, Airdopes 121 PRO ,40 reviews,1499,50%,4.9    
24, Airdopes 141 ,598 reviews,1499,67%,4.8    
25, Airdopes 141 ,598 reviews,1499,67%,4.8    
26, Airdopes 141 ,598 reviews,1499,67%,4.8    
27, Airdopes 141 ,598 reviews,1499,67%,4.8    
28, Airdopes 141 ,598 reviews,1499,67%,4.8    
29, Airdopes 141 ,598 reviews,1499,67%,4.8    
30, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
31, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
32, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
33, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
34, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
35, Airdopes 121 v2 ,562 reviews,1299,57%,4.8    
36, Airdopes 402 ,479 reviews,1499,75%,4.8    
37, Airdopes 402 ,479 reviews,1499,75%,4.8    
38, Airdopes 402 ,479 reviews,1499,75%,4.8    
39, Airdopes 402 ,479 reviews,1499,75%,4.8    
