,ProductName,NumberofReviews,Price,Discount,Rate
0, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
1, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
2, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
3, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
4, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
5, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
6, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
7, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
8, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
9, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
10, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
11, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
12, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
13, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
14, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
15, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
16, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
17, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
18, Rockerz 330 ,266 reviews,1299,57%,4.8    
19, Rockerz 330 ,266 reviews,1299,57%,4.8    
20, Rockerz 330 ,266 reviews,1299,57%,4.8    
21, Rockerz 330 ,266 reviews,1299,57%,4.8    
22, Rockerz 330 ,266 reviews,1299,57%,4.8    
23, Rockerz 330 ,266 reviews,1299,57%,4.8    
24, Rockerz 333 ,186 reviews,1399,65%,4.9    
25, Rockerz 333 ,186 reviews,1399,65%,4.9    
26, Rockerz 333 ,186 reviews,1399,65%,4.9    
27, Rockerz 333 ,186 reviews,1399,65%,4.9    
28, Rockerz 333 ,186 reviews,1399,65%,4.9    
29, Rockerz 333 ,186 reviews,1399,65%,4.9    
30, Rockerz 255 ,228 reviews,1299,57%,4.8    
31, Rockerz 255 ,228 reviews,1299,57%,4.8    
32, Rockerz 255 ,228 reviews,1299,57%,4.8    
33, Rockerz 255 ,228 reviews,1299,57%,4.8    
34, Rockerz 255 ,228 reviews,1299,57%,4.8    
35, Rockerz 255 ,228 reviews,1299,57%,4.8    
36, Rockerz 550 ,345 reviews,1999,60%,4.8    
37, Rockerz 550 ,345 reviews,1999,60%,4.8    
38, Rockerz 550 ,345 reviews,1999,60%,4.8    
39, Rockerz 550 ,345 reviews,1999,60%,4.8    
40, Rockerz 550 ,345 reviews,1999,60%,4.8    
41, Rockerz 550 ,345 reviews,1999,60%,4.8    
42, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
43, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
44, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
45, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
46, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
47, Rockerz 255 Pro ,383 reviews,1399,60%,4.8    
48, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
49, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
50, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
51, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
52, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
53, Rockerz 103 Pro ,64 reviews,999,60%,4.9    
54, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
55, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
56, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
57, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
58, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
59, Rockerz 235 V2 ,1067 reviews,1183,60%,4.8    
60, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
61, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
62, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
63, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
64, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
65, Rockerz 255 Pro+ ,401 reviews,1299,67%,4.8    
66, Rockerz 245 V2 ,206 reviews,1299,57%,4.8    
